acqdate,ATL06SR,ASO,pair,median,median_diff,iqr,iqr_diff,date_offset,tum_depth,dan_depth,delta_tum,delta_dan,basin_median,median_dif_percent,basin_iqr,iqr_dif_percent
3/12/19,TRUE,FALSE,0,2.825405798,0.155656376,2.909035974,-0.312844687,12,2.4892,2.603043288,-0.2032,-0.046256087,,,,
3/24/19,FALSE,TRUE,0,2.981062174,0.155656376,2.596191287,-0.312844687,12,2.286,2.556787202,-0.2032,-0.046256087,2.820520639,5.518710759,1.763427019,-17.74072211
4/10/19,TRUE,FALSE,1,2.452357036,0.106477278,1.248203717,-0.224400006,7,2.032,2.295214827,-0.1524,-0.151303404,,,,
4/17/19,FALSE,TRUE,1,2.558834314,0.106477278,1.023803711,-0.224400006,7,1.8796,2.143911423,-0.1524,-0.151303404,2.524291515,4.218105458,1.942124486,-11.55435748
5/3/19,FALSE,TRUE,2,2.037934542,-0.441765753,1.147949219,0.63028411,11,1.0414,1.517066288,-0.635,-0.280534452,1.698732257,-26.00561398,2.043902457,30.83728911
5/14/19,TRUE,FALSE,2,1.596168788,-0.441765753,1.778233329,0.63028411,11,0.4064,1.236531837,-0.635,-0.280534452,,,,
4/7/20,TRUE,FALSE,3,1.296196791,-0.27669725,1.422135803,-0.578227254,6,0.7112,1.196653837,-0.254,-0.045494087,,,,
4/13/20,FALSE,TRUE,3,1.01949954,-0.27669725,0.843908548,-0.578227254,6,0.4572,1.15115975,-0.254,-0.045494087,0.983526349,-28.13318123,1.1814363,-48.94273643
5/22/20,FALSE,TRUE,4,0,0.041656027,0.29812935,1.015130146,17,0.0508,0.009852269,0.0254,-0.006384192,0.010931425,381.0667636,0.337921977,300.4037069
6/8/20,TRUE,FALSE,4,0.041656027,0.041656027,1.313259496,1.015130146,17,0.0762,0.003468077,0.0254,-0.006384192,,,,
2/8/21,TRUE,FALSE,5,0.845320024,0.222362003,1.179906376,-0.809597977,17,1.143,1.968867567,-0.0254,-0.108031817,,,,
2/25/21,FALSE,TRUE,5,1.067682028,0.222362003,0.370308399,-0.809597977,17,1.1176,1.86083575,-0.0254,-0.108031817,1.049031019,21.19689497,0.70587191,-114.6947436
2/4/22,FALSE,TRUE,6,1.117257357,-0.231935028,0.52405107,0.998943195,2,1.1176,1.330575337,-0.0254,-0.008946173,1.03689003,-22.36833425,0.671249211,148.818528
2/6/22,TRUE,FALSE,6,0.885322329,-0.231935028,1.522994265,0.998943195,2,1.0922,1.321629163,-0.0254,-0.008946173,,,,
4/3/22,TRUE,FALSE,7,0.589806604,4.90E-06,0.794760353,-0.34053675,2,0.2286,0.825981135,-0.0762,-0.033540212,,,,
4/5/22,FALSE,TRUE,7,0.589811504,4.90E-06,0.454223603,-0.34053675,2,0.1524,0.792440923,-0.0762,-0.033540212,0.508277178,0.000963991,0.794165287,-42.87983309
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pair 1,,Pair 2,,Pair 3,,Pair 4,,Pair 5,,Pair 6,,Pair 7,,Pair 8,
,ATL06SR Date,ASO Date,ATL06SR Date,ASO Date,ATL06SR Date,ASO Date,ATL06SR Date,ASO Date,ATL06SR Date,ASO Date,ATL06SR Date,ASO Date,ATL06SR Date,ASO Date,ATL06SR Date,ASO Date
,3/12/19,3/24/19,4/10/19,4/17/19,5/14/19,5/3/19,4/7/20,4/13/20,6/8/20,5/22/20,2/8/21,2/25/21,2/6/22,2/4/22,4/3/22,4/5/22
Date Offset ATL06 - ASO,12,7,11,6,17,17,2,2,,,,,,,,
Median Depth,2.83,2.98,2.45,2.56,1.60,2.04,1.30,1.02,0.04,0.00,0.85,1.07,0.89,1.12,0.59,0.59
Percent Difference Between Medians,,,,,,,,,,,,,,,,
IQR,,,,,,,,,,,,,,,,
Percent Difference Between IQRs,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,